shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
9,40.732332,-74.063044,0,0
9,40.731618,-74.062174,1,0.067142539781367
9,40.731236,-74.061713,2,0.10290679895705
9,40.730304,-74.060631,3,0.188670202194
9,40.729551,-74.059785,4,0.25699635100218
9,40.727941,-74.057954,5,0.40384114934089
9,40.727082,-74.057003,6,0.48131048425804
9,40.726467,-74.056606,7,0.5286127190934
9,40.726040,-74.056477,8,0.55887747520329
9,40.725767,-74.056435,9,0.57786678013053
9,40.725399,-74.056213,10,0.60582305160198
9,40.724553,-74.055658,11,0.6710985355506
9,40.724287,-74.055467,12,0.69202137858434
9,40.723807,-74.054901,13,0.73649715663731
9,40.723276,-74.054196,14,0.78854137165651
9,40.723024,-74.053877,15,0.81266873153656
9,40.722745,-74.053336,16,0.84693274246447
9,40.722204,-74.051434,17,0.95330799840898
9,40.719456,-74.042849,18,1.4412940747167
9,40.719318,-74.042372,19,1.4680296707724
9,40.719666,-74.042446,20,1.4923832506819
9,40.719202,-74.041976,21,1.5327987102294
9,40.719019,-74.041423,22,1.5643961555719
9,40.717739,-74.037256,23,1.7998409945536
9,40.717301,-74.035598,24,1.8917859715645
9,40.727000,-74.033820,25,2.5683262996752
9,40.727017,-74.033816,26,2.5695206998718
9,40.728957,-74.032808,27,2.7135714555111
9,40.731907,-74.031273,28,2.9326591432179
9,40.735858,-74.029220,29,3.2260311970136
9,40.735886,-74.029208,30,3.2280660424126
9,40.735006,-74.029395,31,3.2896483623585
9,40.734348,-74.029546,32,3.3357917547574
9,40.733959,-74.029616,33,3.3629165138876
9,40.733755,-74.029611,34,3.3770133490772
9,40.733432,-74.029576,35,3.3994045750322
9,40.733110,-74.029494,36,3.4220618884349
9,40.732619,-74.029326,37,3.4571067520756
9,40.732512,-74.029234,38,3.4659300258436
9,40.732392,-74.029088,39,3.4772066177223
9,40.732290,-74.028861,40,3.4910231073002
9,40.732225,-74.028513,41,3.5097875348291
9,40.732017,-74.027352,42,3.5722465071409
9,40.731790,-74.024167,43,3.7397312253111
9,40.731651,-74.022283,44,3.8388336191458
9,40.731715,-74.018199,45,4.0526954321391
9,40.731854,-74.015851,46,4.1759983383005
9,40.732044,-74.013174,47,4.3167644053575
9,40.732521,-74.009464,48,4.513774147603
9,40.732957,-74.007072,49,4.6425763076934
9,40.732952,-74.007061,50,4.6432436719195
9,40.733125,-74.005930,51,4.703649869828
9,40.733413,-74.004093,52,4.8018597846029
9,40.733839,-74.001204,53,4.9559448620876
9,40.734072,-73.999547,54,5.0441744448827
9,40.734183,-73.999135,55,5.0670665791182
9,40.734244,-73.999110,56,5.0714792017768
9,40.737345,-73.996844,57,5.316376896485
9,40.742890,-73.992803,58,5.7540035123294
9,40.749102,-73.988256,59,6.2447661435965
10,40.734568,-74.163714,0,0
10,40.736209,-74.161315,1,0.16919672890228
10,40.737840,-74.158819,2,0.34174189311588
10,40.739440,-74.155720,3,0.53805416580964
10,40.741014,-74.152653,4,0.73196815791358
10,40.741445,-74.151231,5,0.81214086265732
10,40.742742,-74.137058,6,1.5594382989713
10,40.743442,-74.128816,7,1.9935730027799
10,40.743030,-74.116701,8,2.6283771115536
10,40.741788,-74.104033,9,3.2970269711861
10,40.741172,-74.087506,10,4.16320990124
10,40.740739,-74.085206,11,4.287269675979
10,40.739377,-74.080313,12,4.5601468693587
10,40.738516,-74.076977,13,4.7446361911529
10,40.737689,-74.073884,14,4.9163389442188
10,40.736651,-74.070145,15,5.1248007437829
10,40.735677,-74.067375,16,5.2846664302879
10,40.734570,-74.065566,17,5.4063978772379
10,40.734219,-74.065116,18,5.4402075905995
10,40.733020,-74.062920,19,5.5819106855975
10,40.732332,-74.063044,20,5.6298858669357
10,40.731618,-74.062174,21,5.697028406717
10,40.731236,-74.061713,22,5.7327926658927
10,40.730304,-74.060631,23,5.8185560691297
10,40.729551,-74.059785,24,5.8868822179378
10,40.727941,-74.057954,25,6.0337270162766
10,40.727082,-74.057003,26,6.1111963511937
10,40.726467,-74.056606,27,6.1584985860291
10,40.726040,-74.056477,28,6.188763342139
10,40.725767,-74.056435,29,6.2077526470662
10,40.725399,-74.056213,30,6.2357089185376
10,40.724553,-74.055658,31,6.3009844024863
10,40.724287,-74.055467,32,6.32190724552
10,40.723807,-74.054901,33,6.366383023573
10,40.723276,-74.054196,34,6.4184272385922
10,40.723024,-74.053877,35,6.4425545984722
10,40.722745,-74.053336,36,6.4768186094001
10,40.722204,-74.051434,37,6.5831938653446
10,40.719456,-74.042849,38,7.0711799416524
10,40.719318,-74.042372,39,7.0979155377081
10,40.719671,-74.042438,40,7.1225480532219
10,40.719184,-74.041976,41,7.1639892525089
10,40.717700,-74.037260,42,7.4313808313085
10,40.717360,-74.035920,43,7.5053784136077
10,40.717170,-74.034820,44,7.564457759915
10,40.716920,-74.032970,45,7.6628627663062
10,40.717010,-74.032680,46,7.6792726677545
10,40.717000,-74.032530,47,7.6871575626701
10,40.716759,-74.032358,48,7.7060883256118
10,40.715006,-74.023613,49,8.1797828838281
10,40.712850,-74.012678,50,8.7714894015421
10,40.712719,-74.011941,51,8.8111326762721
11,40.735873,-74.029219,0,0
11,40.732331,-74.031045,1,0.26272589824262
11,40.727990,-74.033300,2,0.58504642212349
11,40.727055,-74.033811,3,0.65496688442627
11,40.726620,-74.033890,4,0.68530432828039
11,40.725363,-74.034120,5,0.77298140682535
11,40.722558,-74.034630,6,0.96861001595648
11,40.720270,-74.035068,7,1.1283430326716
11,40.717321,-74.035586,8,1.3338871008031
11,40.717131,-74.034594,9,1.3874670807066
11,40.717018,-74.033870,10,1.4261756440755
11,40.716806,-74.032616,11,1.4934565368643
11,40.716763,-74.032389,12,1.5057091355014
11,40.716759,-74.032358,13,1.5073544454977
11,40.715006,-74.023613,14,1.9810490037139
11,40.712850,-74.012678,15,2.5727555214279
11,40.712719,-74.011941,16,2.612398796158
12,40.712713,-74.011963,0,0
12,40.713561,-74.016213,1,0.23015111466121
12,40.714564,-74.021281,2,0.50445205718242
12,40.715442,-74.025719,3,0.74464608088577
12,40.716761,-74.032375,4,1.1049158260347
12,40.716759,-74.032377,5,1.1050826670912
12,40.716877,-74.032999,6,1.1386593001789
12,40.717311,-74.035592,7,1.2777158410469
12,40.718458,-74.035380,8,1.3577358712568
12,40.720269,-74.035051,9,1.4840383252949
12,40.726620,-74.033890,10,1.9270199819625
12,40.727017,-74.033816,11,1.9547209990496
12,40.728957,-74.032808,12,2.0987717546889
12,40.731907,-74.031273,13,2.3178594423956
12,40.735858,-74.029220,14,2.6112314961914
