trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
36230A746B1674,23:20:00,23:20:00,26733,1,"",0,0,0
36230A746B1674,23:22:00,23:22:00,26729,2,"",0,0,0.53805416580964
36230A746B1674,23:31:00,23:31:00,26731,3,"",0,0,5.5819106855975
36231A746B1674,14:00:00,14:00:00,26733,1,"",0,0,0
36231A746B1674,14:02:00,14:02:00,26729,2,"",0,0,0.53805416580964
36231A746B1674,14:11:00,14:11:00,26731,3,"",0,0,5.5819106855975
36232A746B1674,01:40:00,01:40:00,26733,1,"",0,0,0
36232A746B1674,01:42:00,01:42:00,26729,2,"",0,0,0.53805416580964
36232A746B1674,01:51:00,01:51:00,26731,3,"",0,0,5.5819106855975
36233A746B1674,15:20:00,15:20:00,26733,1,"",0,0,0
36233A746B1674,15:22:00,15:22:00,26729,2,"",0,0,0.53805416580964
36233A746B1674,15:31:00,15:31:00,26731,3,"",0,0,5.5819106855975
36234A746B1674,03:25:00,03:25:00,26733,1,"",0,0,0
36234A746B1674,03:27:00,03:27:00,26729,2,"",0,0,0.53805416580964
36234A746B1674,03:36:00,03:36:00,26731,3,"",0,0,5.5819106855975
